conv_id,speaker_id,start_time,end_time,text,outcome,is_sale,duration,dealer,model,msrp,tsrp,add_ons
1,1,28.36000061,29.76000023, It's a pleasure speaking with.,,,,Toyota,RAV4 Hybrid,39048,35053,3995
1,0,29.79999924,31.47999954, You have a pleasure to speaking of Tommy.,,,,,,,,
1,0,31.47999954,32.68000031, How are you doing today?,,,,,,,,
1,1,32.68000031,34.20000076," Hi Tommy, good and you?",,,,,,,,
1,0,34.20000076,36.11999893, I am doing just wonderful.,,,,,,,,
1,0,36.11999893,38.59999847, I'm hoping to speak to somebody in sales.,,,,,,,,
1,1,38.59999847,39.72000122," Okay, I'm their assistant.",,,,,,,,
1,1,39.72000122,40.56000137, How may I help you?,,,,,,,,
1,0,40.56000137,41.40000153," Hey, awesome.",,,,,,,,
1,0,41.40000153,42.31999969," So first off, I wanna see if you guys",,,,,,,,
1,0,42.31999969,44.43999863, have a vehicle in stock.,,,,,,,,
1,1,44.43999863,46.04000092," Okay, which vehicle?",,,,,,,,
1,0,46.04000092,49.36000061," It is a T as in Tonka truck,",,,,,,,,
1,0,49.36000061,52.15999985," two, four, zero, six, nine, seven.",,,,,,,,
1,1,52.15999985,53.59999847," Sorry, can you repeat the last three?",,,,,,,,
1,0,53.59999847,56.27999878," Yeah, six, nine, seven.",,,,,,,,
1,0,56.27999878,57.63999939," Six, nine, seven.",,,,,,,,
1,1,57.68000031,59.95999908," Okay, let me see here.",,,,,,,,
1,1,59.95999908,61.91999817," That's the stock number, right?",,,,,,,,
1,0,61.91999817,63.91999817," That is the stock number, correct.",,,,,,,,
1,1,63.91999817,66.23999786," Okay, and is that a new or pre-owned vehicle?",,,,,,,,
1,0,66.23999786,67.95999908, It is a brand new car.,,,,,,,,
1,0,67.95999908,70.12000275, It is a RAV4 Hybrid LE.,,,,,,,,
1,1,70.12000275,72.31999969," Okay, perfect, let me see.",,,,,,,,
1,1,72.31999969,74.76000214, RAV4 Hybrid LE.,,,,,,,,
1,1,76.59999847,79.23999786," You said five, let me see.",,,,,,,,
1,1,80.31999969,81.48000336, RAV4 Hybrid LE.,,,,,,,,
1,1,81.48000336,83.59999847, I see we have two RAV4 LE.,,,,,,,,
1,0,83.59999847,84.59999847, It's a good sign.,,,,,,,,
1,1,84.59999847,86.16000366, Let me see.,,,,,,,,
1,1,86.16000366,87.27999878," It is here, sorry.",,,,,,,,
1,1,87.91999817,89.04000092, I don't know why that was like popping up,,,,,,,,
1,1,89.04000092,91.08000183, way after the LE.,,,,,,,,
1,1,91.08000183,91.91999817," No, yeah, yeah, yeah.",,,,,,,,
1,1,91.91999817,93.27999878," Yeah, so how soon did you wanna come in",,,,,,,,
1,1,93.27999878,94.12000275, and take a look at it?,,,,,,,,
1,0,94.12000275,95.91999817," Well, I already know exactly what I want.",,,,,,,,
1,0,95.91999817,97.04000092, This is the vehicle I want.,,,,,,,,
1,0,97.04000092,98.80000305," I've already driven it, already know what I want.",,,,,,,,
1,0,98.80000305,100.1999969," I'm talking to a few different dealerships,",,,,,,,,
1,0,100.1999969,102.1999969, just trying to get the best possible deal.,,,,,,,,
1,0,102.1999969,103.8799973, I've heard good things about you guys.,,,,,,,,
1,0,103.8799973,105.1600037, You guys are dealer of the year,,,,,,,,
1,0,105.1600037,106.6399994, for the last like four years.,,,,,,,,
