conversation_id,speaker_id,start_time,end_time,text,outcome
2026_1,1,0,2.59999847," Hello, this is Eric from Epidus.  How can I help you?",no sale
2026_1,0,2.59999847,11.80000305," Hey, are you in sales?  Yeah, I'm in sales, sir.  Awesome.  I want to see if you guys  have a vehicle available.  Yeah. Which car is it?  I have a stock number  whenever you're ready.",no sale
2026_1,1,11.80000305,12.84000397," I'm ready, sir.",no sale
2026_1,0,12.84000397,19.63999941," OK, it's S as in Sam, S as in Sienna,  06, C as in Cyprus, 426.",no sale
2026_1,1,19.76000211,21.00000001, You said 426?,no sale
2026_1,0,21.00000001,25.36000061," Yeah.  S as 06, E 426.  C as in Cyprus, yeah.",no sale
2026_1,1,25.36000061,30.12000271," OK, let me see.  Hmm, I don't see it.  Like, what kind of car is it?",no sale
2026_1,0,30.12000271,32.00000001, The Toyota Sienna Cyprus.,no sale
2026_1,1,32.00000001,35.95999911, Toyota Sienna.  Sienna. Platinum.,no sale
2026_1,0,36.36000061,43.68000081, In the cypress color C is also is in Charlie or cat or color or cable,no sale
2026_1,1,43.68000081,70.97999911," Okay, I see it's a Sienna platinum in the cypress you nailed it. Yep. Is that available?  So the car is not here yet  It is being allocated right now and it will be available  By the first week of like March. Okay  And this is the cypress color one, yeah, there's a green one. Yes. Okay, cool. It's not reserved or anything  Let me double-check real quick",no sale
2026_1,0,71.13999901,71.63999901, Okay,no sale
2026_1,1,71.63999901,87.58000141, So I see that is it is reserved but there's always a chance that the reservation get canceled because it's only $100  None to buy non-refundable deposits of people sometimes don't show up. So they have like 24 hours to you know  Come in and get the car. ,no sale
2026_1,0,88.33999971,98.38000451," Okay, but I'm not a I'm not a gambling guy, you know, I'm type person, you know, I always lose when I go to the casino  So I don't like the chance  That a car I got it. I got yeah",no sale
2026_1,1,98.38000451,109.3000026," So what I can do is, you know, I can call you when the car is here  It's and also it's like two months away, right? So yeah, it's better to just call you when the car is here. Oh, no worries",no sale
2026_1,0,109.3000026,120.6600032," I'll  Yeah, I mean that's so if I'm gonna keep calling around I'm hoping to find one and put a deposit on one  So I'm gonna keep calling around and hopefully I will find one cross my fingers. Definitely. Yeah. Thank you, sir",no sale
2026_1,1,120.6600032,122.6600032," Hey, no problem. I hope you find one too",no sale
2026_10,1,0,1.2399978," My name's Frank, by the way.",sale
2026_10,0,1.2799988,3.2799988," Nice to meet you, Frank. My uncle's a Frank.",sale
2026_10,1,3.2799988,4.1199989," Oh, really?",sale
2026_10,0,4.1199989,5.3999977," No, not at all, it was a joke.",sale
2026_10,1,5.3999977,6.2399978," Oh, really?",sale
2026_10,0,6.2399978,7.920002," No, that was also a joke. You don't know Frank?",sale
2026_10,1,7.920002,8.7599983," All right, I got your number here.",sale
2026_10,0,8.7599983,14.2799949," It was a joke. It's called joke-ception. It's when a joke's in a joke's in a joke's in a joke, and you just don't know which one's the actual joke before being serious.",sale
2026_10,1,14.2799949,15.1199989, Yeah.,sale
2026_10,0,15.1199989,16.7599983, I have a stand-up show if you want to see me on Netflix.,sale
2026_10,1,16.7599983,17.6799965, Yeah?,sale
2026_10,0,17.6799965,20.4799919," No, again, another joke. It's on Hulu.",sale
2026_10,1,20.4799919,21.4399987, Is this your cell phone?,sale
2026_10,0,21.4399987,23.1999932," I mean, yes, it is my cell phone.",sale
2026_10,1,23.1999932,28.3199959," I'm going to call you back, and then I can send you a picture, too, of the out-the-door price. You want me to do it with sales tax and everything included?",sale
2026_10,0,28.3199959,29.1599922," Yeah, that's fine.",sale
2026_10,1,29.1599922,34.3199959," All right, and that's Connecticut sales tax. Yep. 20,000 down. All right, I'll get back to you in 10, 15 minutes.",sale
2026_10,0,34.3199959,35.9999962," Okay, sounds good. I cannot wait.",sale
2026_10,1,35.9999962,36.8199959," All right, thanks, Tom.",sale
2026_10,0,36.8199959,37.6599922," Thanks, Frank.",sale
