conversation_id,speaker_id,start_time,end_time,text
1,1,77.16000366,78.83999634, Thank you for calling.
1,1,78.83999634,79.68000031, My name is Megan.
1,1,79.68000031,80.68000031, How can I assist you today?
1,0,80.68000031,81.59999847," Hey, Megan."
1,0,81.59999847,82.44000244, Are you in sales?
1,1,82.44000244,84," I am not, but I can get you over to them."
1,1,84,85.87999725, Is it for the location?
1,0,85.87999725,87.48000336, For the location.
1,1,87.48000336,88.68000031," Yes, in one moment."
1,0,88.68000031,89.51999664, Okay.
1,1,89.51999664,90.36000061, Thank you for holding.
1,1,90.36000061,91.19999695, This is Pamela.
1,1,91.19999695,92.04000092, How can I help you?
1,0,92.04000092,92.87999725," Hey, Pamela."
1,0,92.87999725,93.72000122, I was first off calling to see
1,0,93.72000122,95.44000244, if you guys have a car available.
1,1,95.44000244,96.27999878, Okay.
1,1,96.27999878,97.36000061, Is it new or pre-owned?
1,0,97.36000061,99.12000275, It is brand new.
1,1,99.12000275,99.95999908, Okay.
1,1,99.95999908,101.0800018, Do you have a stock number?
1,0,101.0800018,101.9599991," I do, whenever you're ready."
1,1,101.9599991,102.8799973," Okay, I'm ready."
1,0,102.8799973,107.8799973," It is going to be C as in cat, 251-984-95."
1,1,108.4400024,109.2799988, All right.
1,0,109.2799988,111.6800003, It's for 2025 Escalade Sport Platinum.
1,1,111.6800003,112.5199966, Yep.
1,1,112.5199966,113.3600006, Okay.
1,1,113.3600006,114.7200012, That one's actually in transit at the moment.
1,0,114.7200012,115.5599976, Okay.
1,0,115.5599976,116.4000015, Is it available?
1,1,116.4000015,117.7600021, It's not on the lot yet.
1,1,117.7600021,119.4400024, That is a good question.
1,0,119.4400024,120.2799988, I'm full of them.
1,1,120,124, It is actually in... it's a f***ing vehicle.
1,0,124,124.5, Okay.
1,1,124.5,127, So let me get you over to somebody in Fort...
1,0,127,127.5, Sure.
1,1,127.5,129.5, And they should be able to answer that question for you.
1,0,129.5,130, Okay.
1,1,130,130.5, Hold on one second.
1,1,130.5,132," This is Melissa, how can I help you?"
1,0,132,135.5," Hey, I was just gonna see if you guys have a car available."
1,1,135.5,136, Sure.
1,0,136,138.5, If you can give me a... I can give you a stock number.
1,1,138.5,140," Of course, that'll work."
1,0,140,145," Yeah, it's C as in Cadillac, 251-984-95."
1,0,145,148," The Escalade Sport Platinum, the ones in transit."
1,1,148,150.5," Yeah, I was gonna see if that's first off even available."
1,1,150.5,152, So it's not here yet.
1,1,152,154.5, It should be here in the next week or two.
1,1,154.5,157.5," But as far as I know, this one has somebody's name on it already."
1,1,157.5,159.5, Sparmer.
1,0,159.5,161, Are you guys doing orders on them?
1,0,161,162.5, Do you guys have allocations on orders?
1,1,162.5,164.5," Actually, we do are doing orders."
1,1,164.5,169, I can get you over to one of the guys and they can put an order through.
1,0,169,170.5," Sure, do you know..."
1,0,170.5,172.5," Yeah, do I talk to them about pricing on it and everything?"
1,1,172.5,173.5," Yeah, yeah."
1,1,173.5,174.5, Just give me one moment.
1,0,174.5,175, Okay.
1,1,175,177.5, Let's see what I can...
1,1,177.5,178.5, What's your first name?
1,0,178.5,179, Tommy.
1,1,179,180," And what's your last name, Tommy?"
1,0,180,182.5," Mikula, M-I-K-U-L-A."
1,1,182.5,183.5," Okay, one moment."
1,0,183.5,184.5, Okay.
1,1,184.5,186.5," Good afternoon, this is Grayson."
1,1,186.5,188, Who do I have the pleasure of speaking with?
1,0,188,190," Hey, this is Tommy."
1,1,190,191.5," Hey, what's going on, Tommy? What can I do for you?"
1,0,191.5,194.5," Hey, man, I was looking at a Cadillac Escalade"
1,0,194.5,197.5, and I was hoping to figure out what kind of pricing you guys are doing on it
1,0,197.5,199.5, and going from there.
1,1,199.5,200.5," Okay, awesome."
1,1,200.5,203.5, Are you here local in the state of Texas?
1,0,203.5,204.5," I am in Texas, yeah."
1,1,204.5,205.5," Okay, awesome."
1,1,205.5,207, Have you shopped here before by any chance?
1,0,207,208," I have not, no."
1,1,208,211, And what Escalade model are you looking for?
1,0,211,213, We're looking for a Sport Platinum.
1,1,213,215, Sport Platinum ESV or short?
1,0,215,216, Short.
1,0,216,217, I wouldn't call myself short though.
1,0,217,218," I'm 5'7""."
1,0,218,221, Let's be real.
1,1,221,225," Okay, so, I mean, we do a pretty easy price on there."
1,1,225,227, It's just whatever you want to build it to.
1,1,227,230, And then we also offer a Frank Kent package.
1,1,230,234," It includes ceramic window tint all around,"
1,1,234,236," door edge guards, door cup guards."
1,1,236,239, Then we also do a paint correction whenever it comes in
1,1,239,241, because they ship it on and off.
1,1,240,244.1199999, an open trailer from GM and then a full ceramic coat
1,1,244.1199999,247.5999999," around the vehicle and that's a $10,000 package right there."
1,0,247.5999999,250.1199999," Holy moly, smack me upside the head, silly."
1,0,250.1199999,252.2799997," $10,000 package?"
1,1,252.2799997,253.3599997," Yes, sir."
1,0,253.3599997,255.5600004," Oh my goodness, I thought you guys said it was easy."
1,0,255.5600004,257.8799992," My heart, I'm getting old."
1,1,257.8799992,260.3600006," Pretty much all over the country,"
1,1,260.3600006,264," they're doing about $20,000 to $50,000 on their packages."
1,0,264,265.3999996, On the V's maybe?
1,0,265.3999996,267.1200008," I'm not trying to get a V, did you not hear me?"
1,0,267.1200008,268.6800003," I don't want a V, I don't need a V."
