metric,value
backbone,gpt-4o
dataset,NL negotiations
conversations_total,178
conversations_train,99
conversations_val,34
conversations_test,45
cost_per_unit_time,0.1
benefit_per_positive_outcome,10.0
decision_opportunity_1_s,45
decision_opportunity_2_s,60
roc_auc_val_45s,0.468
roc_auc_val_60s,0.414
roc_auc_test_45s,0.520
roc_auc_test_60s,0.488
baseline_total_reward,-1533.08
baseline_avg_reward,-34.07
baseline_total_sales,27
baseline_total_time_s,18030.8
agent_threshold_45s,0.9962
agent_threshold_60s,0.9985
agent_total_reward,-205.50
agent_avg_reward,-4.57
agent_total_sales,0
agent_total_time_s,2055.0
sales_lost,27
time_saved_s,15975.8
time_saved_pct,88.6
reward_gained,1327.58
