conversation_id,speaker_id,start_time,end_time,text,outcome
100,1,0.0,18.22,Hello Hello,sale
100,0,18.22,36.44,Hi how are you,sale
100,1,36.44,54.66,Good how are you,sale
100,0,54.66,72.88,Not bad you're in New Haven,sale
100,1,72.88,91.1,Um No I'm actually off campus at the,sale
100,0,91.1,109.32,moment Mhm Yeah I just thought you did actually,sale
100,1,109.32,127.54,Oh just Mhm All right,sale
100,0,127.54,145.76,Well so you wanna do I need to start us off or do you want to start us,sale
100,1,145.76,163.98,off I think you should come in with the initial offer,sale
100,0,163.98,182.2,"Sure I'll start at 200,500",sale
100,1,182.2,200.42,"All right I'm gonna have to say no to that Mhm I'm asking for 2 40,000 for the house Um I think that's a fair price Given the given the accommodations it's a four bedroom place with a recreation room 2.5 bathrooms Low level style Um It's one of the one of the nicer homes in the neighborhood I think That to 40,000 is an appropriate amount to be asking for a house like",sale
100,0,200.42,218.64,this Yeah I really like the house but I'm just thinking about some of the other houses and um when I visited them I really enjoyed it as well And um even though yours I think is slightly bigger than um and one of them I just can't justify buying your house for for that much So mm me I think I would be willing to go two Well is there is there a price within the 220s that would be good for you,sale
100,1,218.64,236.86,Um I think that's closer to what I'm looking for,sale
100,0,236.86,255.08,Um,sale
100,1,255.08,273.3,"um So what what is your Why should you only pay to 20,000 for this house",sale
100,0,273.3,291.52,Well I'm willing to say it let me just feeling fully transparent I think like um this is a lovely house Um I want to make sure you get the best deal for it When I'm looking at some of the other houses I see that per square foot it's coming about to like um 120 $24 per square foot And so for me you know again like you have a lovely house and I think 129 is the best I can do and I just want to be fully transparent Um I'm not trying to like familiar or anything but 1 29 is what I'm comfortable paying It's around the same price per square foot as the other homes Um And that's probably the highest I can go It is the highest I can go actually,sale
100,1,291.52,309.74,Yeah I understand Um I do I do see what you're saying um in terms of the price per square foot in um in other homes in the in the neighborhood and I agree that um somewhere around 1 29 is is appropriate Um,sale
100,0,309.74,327.96,29 is my final offer I couldn't go any higher than that 2 to 3 to 29 91 29 to 29 Yeah,sale
100,1,327.96,346.18,I think the the accommodations though I mean the home is newly decorated and has not one but two fireplaces finished hardwood floors I mean it's it's it's great like A detached garage 2.5 car garage I think I understand that you said to 29 is your final offer but I would be willing to go to 2:30 PM,sale
100,0,346.18,364.4,I can't do that To 29 is going to be my absolute top You know you have a great home But I mean the 2 13 houses really appealing to me as well And it's like it's close to the school it's also close to the park um In 229 is just my personal limit and I'm just not comfortable going anything above that Mhm,sale
100,1,364.4,382.62,Mhm I think if you're also considering the 2 13 house with 17 15 square feet um the price per square foot on that house is um sorry is 124.37 which um is actually the lowest price per square foot for any of the similar houses on the market in the area And if we if we take that low end and multiplied by the square footage of the house that we are considering today it comes out to 2 29 5 92 I would be willing to go to 2:29 500 I think that's that's going to be my final offer,sale
100,0,382.62,400.84,So anything else we can negotiate I really think I just can't pay anything about 10-29 I'm thinking Mhm With the paper the house on Sure Is there anything not related to the austin price that That I could get to you because I can't come up above the 2:29,sale
100,1,400.84,419.06,Yeah I'm sorry Could you repeat that You just cut out a little,sale
100,0,419.06,437.28,bit um,sale
100,1,437.28,455.5,Yeah go,sale
100,0,455.5,473.72,ahead I'm longer I don't want to get all the cash and you are relocation fees as well as your next house But from the house I am only I'm only able to pay to 29 Yeah,sale
100,1,473.72,491.94,Okay I'll take 2:29,sale
101,0,0.0,14.686,Okay I recorded too,no sale
101,1,14.686,29.371,Okay great,no sale
101,0,29.371,44.057,Um So does the buyer start this time also hold on,no sale
